"NA."	"NA..1"	"NA..2"	"NA..3"	"NA..4"	"NA..5"	"Max.capacity..154230"	"Max.capacity..296250"	"NA..6"
"1"	"Test Number"	"Target Lat"	"Target Long"	"Trajectory Angle"	"Bearing Angle"	"Distance"	"Fuel Required (lbs)"	"Oxidizer Required (lbs)"	"Mission Success"
"180"	"179"	"34.68"	"135.17"	"87.1000014697"	"117.210021994"	"966.666176768"	"9939.26162952"	"19091.6569912"	"0"
"181"	"180"	"31.74"	"-106.49"	"58.581138033"	"42.396328622"	"10472.953989"	"107682.912915"	"206840.841283"	"0"
"182"	"181"	"32.53"	"-117.02"	"60.7273534744"	"48.619259596"	"9757.54884188"	"100327.117192"	"192711.589627"	"0"
"183"	"182"	"-8.08"	"-34.92"	"41.7941138534"	"325.657888269"	"16068.6287155"	"165217.640453"	"317355.417131"	"1"
"184"	"183"	"30.2"	"71.45"	"75.0249238241"	"275.944050413"	"4991.69205863"	"51324.5777468"	"98585.9181579"	"0"
"185"	"184"	"21.03"	"105.84"	"81.719105211"	"229.249434195"	"2760.29826301"	"28381.3867403"	"54515.8906945"	"0"
"186"	"185"	"22.63"	"120.27"	"84.3064069967"	"197.51678241"	"1897.86433442"	"19513.8410865"	"37482.8206048"	"0"
"187"	"186"	"-1.44"	"-48.5"	"42.6199707974"	"350.650404387"	"15793.3430675"	"162387.15342"	"311918.525584"	"1"
"188"	"187"	"-31.4"	"-64.19"	"33.6726652165"	"49.7424118218"	"18775.7782612"	"193052.552081"	"370821.620658"	"1"
"189"	"188"	"0.32"	"32.58"	"59.2204003323"	"272.25427978"	"10259.8665559"	"105491.947928"	"202632.364479"	"0"
"190"	"189"	"6.17"	"1.35"	"52.7604204295"	"298.069910061"	"12413.1931902"	"127632.452381"	"245160.565506"	"0"
"191"	"190"	"25.38"	"68.37"	"73.4545122407"	"271.972364971"	"5515.16258644"	"56706.9017137"	"108924.461082"	"0"
"192"	"191"	"31.3"	"120.62"	"87.0622650788"	"210.014300905"	"979.244973725"	"10068.5968198"	"19340.0882311"	"0"
"193"	"192"	"22.31"	"73.18"	"74.1580982587"	"265.389223899"	"5280.63391376"	"54295.4779013"	"104292.519797"	"0"
"194"	"193"	"32.16"	"74.18"	"76.0097880827"	"277.051691152"	"4663.40397243"	"47949.1196445"	"92102.2284554"	"0"
